Bus_No,V_pu,Angle_Degree,Injection_MW,Injection_MVar,Generation_MW,Generation_Mvar,ELoad_MW,ELoad_MVar,CHP_MW,COM_P_MW,Pump_P_MW,EB_P_MW
1,1.0400,0.0000,184.4840,166.5199,239.4840,183.5199,55.0000,17.0000,0.0000,0.0000,0.0000,0.0000
2,1.0100,1.3623,147.0000,-133.0924,150.0000,-45.0924,3.0000,88.0000,0.0000,0.0000,0.0000,0.0000
3,0.9850,-3.2470,-0.1311,-9.8053,40.0000,11.1947,41.0000,21.0000,0.8689,0.0000,0.0000,0.0000
4,0.9781,-4.1847,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.9757,-4.8346,-13.0000,-4.0000,0.0000,0.0000,13.0000,4.0000,0.0000,0.0000,0.0000,0.0000
6,0.9800,-4.6896,-75.0000,7.6444,0.0000,9.6444,75.0000,2.0000,0.0000,0.0000,0.0000,0.0000
7,0.9766,-3.3380,-0.1481,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.1481,0.0000,0.0000
8,1.0050,0.8464,300.0000,50.3835,450.0000,72.3835,150.0000,22.0000,0.0000,0.0000,0.0000,0.0000
9,0.9800,-3.0766,29.0000,-48.8594,150.0000,-22.8594,121.0000,26.0000,0.0000,0.0000,0.0000,0.0000
10,0.9854,-7.0770,-5.0000,-2.0000,0.0000,-0.0000,5.0000,2.0000,0.0000,0.0000,0.0000,0.0000
11,0.9712,-5.3408,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,1.0150,-7.1938,-67.0000,106.5457,310.0000,130.5457,377.0000,24.0000,0.0000,0.0000,0.0000,0.0000
13,0.9758,-6.2516,-18.0000,-2.3000,0.0000,-0.0000,18.0000,2.3000,0.0000,0.0000,0.0000,0.0000
14,0.9660,-6.4064,-10.5000,-5.3000,0.0000,-0.0000,10.5000,5.3000,0.0000,0.0000,0.0000,0.0000
15,0.9849,-4.8418,-22.0000,-5.0000,0.0000,-0.0000,22.0000,5.0000,0.0000,0.0000,0.0000,0.0000
16,1.0152,-6.5170,-43.0000,-3.0000,0.0000,-0.0000,43.0000,3.0000,0.0000,0.0000,0.0000,0.0000
17,1.0196,-4.1777,-42.0000,-8.0000,0.0000,-0.0000,42.0000,8.0000,0.0000,0.0000,0.0000,0.0000
