FromBus_No,ToBus_No,P_MW,Q_MVar,Loss_MW,Loss_MVar
1,2,-51.3308,127.7048,1.4537,4.9040
2,3,94.2155,0.4602,2.5932,7.3966
3,4,44.6740,5.2139,0.2335,0.7631
4,5,7.4149,-1.6606,0.0377,0.0797
4,6,4.9365,-2.6556,0.0141,0.0486
6,7,-20.6526,7.5520,0.1007,0.5136
6,8,-55.0628,-0.7167,1.0704,5.4624
8,9,138.7496,27.1219,1.9591,9.9933
9,10,37.9118,-10.0648,0.5912,2.6898
9,11,43.6690,-2.2075,0.5136,1.6881
9,12,20.8404,-15.3348,0.4517,2.0564
9,13,31.6581,-6.1261,0.5207,1.7106
13,14,11.5077,18.5457,0.0660,0.2171
13,15,-27.6287,-1.3448,0.2161,0.6983
1,15,104.1190,46.5670,2.1409,10.9453
1,16,58.8030,2.8622,1.4548,6.6013
1,17,72.8928,6.2049,1.1776,5.3439
3,15,46.8172,-13.5049,0.3964,1.2970
4,18,32.0891,2.8698,0.0000,2.5615
4,18,32.0891,2.8698,0.0000,2.5615
5,6,-5.6228,-3.9221,0.0149,0.0316
7,8,-103.5225,-15.0344,1.5947,8.1688
10,12,-3.3031,-22.4088,0.1464,0.6669
11,13,17.1528,-11.2506,0.0995,0.3266
12,13,-6.3759,70.7240,0.8712,2.8389
12,16,-14.3109,2.9809,0.0373,0.1686
12,17,-29.3741,4.7162,0.3411,1.5378
14,15,-52.5934,-16.3117,0.5556,1.7773
18,19,4.8891,0.7634,0.1189,0.1767
19,20,1.4702,-0.0133,0.0068,0.0105
21,20,0.8367,6.0400,0.0000,0.3065
21,22,-0.8367,-1.0390,0.0013,0.0021
22,23,7.9464,7.2108,0.0116,0.0177
23,24,1.6349,5.5057,0.0557,0.0859
24,25,13.5552,8.1434,0.0000,1.5878
24,25,13.5552,8.1434,0.0000,1.5878
24,26,-11.9761,77.0025,0.0000,3.1561
26,27,-11.9761,-2.4057,0.2814,0.4332
27,28,-21.5575,-3.3389,0.3169,0.4891
28,29,-26.4743,-6.1280,0.3209,0.4507
7,29,82.6212,-27.6304,0.0000,4.9862
25,30,7.2552,3.3556,0.1002,0.1500
30,31,3.5550,1.4056,0.0575,0.0877
31,32,-2.3025,-1.5821,0.0500,0.0745
32,33,3.8085,1.9078,0.0085,0.0078
34,32,7.7610,2.8214,0.0000,0.7158
34,35,-7.7610,-5.1227,0.0508,0.0762
35,36,-13.8118,-7.9825,0.1214,0.1516
36,37,-15.6952,-11.8814,0.1219,0.1538
37,38,-18.3781,-14.8256,0.3862,0.5986
37,39,2.5610,2.8844,0.0038,0.0060
36,40,1.7620,3.8210,0.0058,0.0089
22,38,-8.7844,-8.2519,0.0283,0.0434
11,41,10.5751,-2.3053,0.0000,0.8884
41,42,10.4244,3.6721,0.2574,0.4376
41,43,-13.4275,-3.1665,0.0000,0.7981
38,44,-2.1788,0.8220,0.0016,0.0032
15,45,45.4049,-40.9847,-0.0000,3.8377
14,46,53.5351,-126.2080,0.0000,13.3221
46,47,53.5351,28.2980,0.7605,2.2483
47,48,23.0747,14.6173,0.1296,0.1659
48,49,-5.3939,-6.6913,0.0597,0.0923
49,50,3.8376,6.0372,0.0387,0.0619
50,51,-17.2011,-4.5247,0.4227,0.6709
10,51,35.6237,-98.9872,0.0000,7.5477
13,49,39.0645,-29.0596,0.0000,4.2554
29,52,38.4056,10.4235,2.3031,2.9866
52,53,1.2025,5.2369,0.0259,0.0334
53,54,-18.8233,-4.7965,0.8450,1.0438
54,55,-23.7683,-7.2404,1.1429,1.4946
11,43,15.4275,-22.8493,0.0000,1.1812
44,45,-44.1804,-0.6827,1.2245,2.4373
40,56,1.7562,0.2989,0.0000,0.0396
56,41,-6.9786,0.8157,0.2997,0.2975
56,42,-3.0421,1.2072,0.0250,0.0416
39,57,2.5572,1.4391,-0.0000,0.1221
57,56,-4.1428,0.6724,0.0341,0.0509
38,49,-11.4957,-10.3900,0.2776,0.4273
38,48,-27.9024,-20.8034,0.3800,0.5870
9,55,31.7112,-40.6700,0.0000,3.1368
