Node_No,Pressure_bar,LoadFlow_MSCM/h,EGenerator_MSCM/h,CHP_MSCM/h,Gas-Boiler_MSCM/h
1,56.0000,0.0000,0.0000,0.0000,0.0000
2,55.9413,-350.0000,0.0000,0.0000,0.0000
3,55.7311,163.2500,30.6016,0.1866,0.0421
4,53.3145,0.0000,0.0000,0.0000,0.0000
5,51.0037,-117.2792,0.0000,0.0000,0.0000
6,50.2231,168.0833,58.5700,0.0000,0.0000
7,50.6823,219.0000,0.0000,0.0000,0.0000
8,48.9308,-917.1667,0.0000,0.0000,0.0000
9,48.3855,0.0000,0.0000,0.0000,0.0000
10,56.2048,265.2083,0.0000,0.0000,0.0000
11,54.9998,0.0000,0.0000,0.0000,0.0000
12,53.0454,88.3333,0.0000,0.0000,0.0000
13,51.6806,-50.0000,0.0000,0.0000,0.0000
14,51.4690,-40.0000,0.0000,0.0000,0.0000
15,49.7894,285.3333,0.0000,0.0000,0.0000
16,47.4963,650.6667,99.0284,0.0000,0.0000
17,54.1838,0.0000,0.0000,0.0000,0.0000
18,47.1365,0.0000,0.0000,0.0000,0.0000
19,48.0399,9.2500,0.0000,0.0000,0.0000
20,46.6418,79.9582,0.0000,0.0000,0.0000
