Node_No,SupplyTemperature_°C,ReturnTemperature_°C,Heatload_MW,CHP_MW,Boiler_MW
1,70.0000,29.6412,-0.9542,0.0000,0.0000,0.3993
2,69.5007,29.8063,0.0000,0.0000,0.0000,0.0000
3,69.0575,30.0000,0.1070,0.1070,0.0000,0.0000
4,69.3280,30.0000,0.1450,0.1450,0.0000,0.0000
5,69.2067,29.7371,0.0000,0.0000,0.0000,0.0000
6,68.1343,30.0000,0.1070,0.1070,0.0000,0.0000
7,69.6769,29.6650,-0.0000,0.0000,0.0000,0.0000
8,68.8751,30.0000,0.1070,0.1070,0.0000,0.0000
9,69.2067,30.0000,0.1070,0.1070,0.0000,0.0000
10,68.5684,30.0000,0.1070,0.1070,0.0000,0.0000
11,69.2644,29.9029,-0.0000,0.0000,0.0000,0.0000
12,68.6864,30.0000,0.1070,0.1070,0.0000,0.0000
13,69.0292,30.0000,0.0000,0.0000,0.0000,0.0000
14,68.8833,29.7360,0.0000,0.0000,0.0000,0.0000
15,68.7559,29.7749,-0.0000,0.0000,0.0000,0.0000
16,68.1446,30.0000,0.0805,0.0805,0.0000,0.0000
17,68.0445,30.0000,0.0805,0.0805,0.0000,0.0000
18,68.1681,30.0000,0.0805,0.0805,0.0000,0.0000
19,68.8014,29.7603,-0.0000,0.0000,0.0000,0.0000
20,68.0887,30.0000,0.0805,0.0805,0.0000,0.0000
21,68.1004,30.0000,0.0805,0.0805,0.0000,0.0000
22,68.7174,29.8021,0.0000,0.0000,0.0000,0.0000
23,68.0845,30.0000,0.1070,0.1070,0.0000,0.0000
24,68.1883,30.0000,0.1070,0.1070,0.0000,0.0000
25,69.7616,29.7803,0.0000,0.0000,0.0000,0.0000
26,69.2015,30.0000,0.1070,0.1070,0.0000,0.0000
27,69.2529,30.0000,0.1070,0.1070,0.0000,0.0000
28,69.8844,29.7956,0.0000,0.0000,0.0000,0.0000
29,69.4880,30.0000,0.1070,0.1070,0.0000,0.0000
30,69.4474,30.0000,0.1070,0.1070,0.0000,0.0000
31,70.0000,29.7266,0.0007,0.0000,1.1000,0.0000
32,70.0000,30.3888,-0.0089,0.0000,0.0000,0.4000
