FromNode_No,ToNode_No,MassFlow_Kg/s,Heat_MW,HeatLoss_MW
1,2,2.4152,0.4076,0.0067
2,3,0.6551,0.1086,0.0015
2,4,0.8816,0.1459,0.0003
2,5,0.8785,0.1465,0.0021
5,6,0.6709,0.1110,0.0043
7,5,1.7503,0.2934,0.0051
7,8,0.6582,0.1099,0.0028
7,9,0.6526,0.1087,0.0012
7,10,0.6634,0.1111,0.0042
5,11,1.9579,0.3229,0.0003
11,12,0.6614,0.1091,0.0024
11,13,3.6575,0.6018,0.0045
13,14,3.6575,0.6018,0.0078
14,15,1.0106,0.1655,0.0007
15,16,0.5046,0.0822,0.0017
15,17,0.5060,0.0825,0.0021
14,18,0.5043,0.0825,0.0020
14,19,2.1425,0.3508,0.0010
19,20,0.5054,0.0825,0.0020
19,21,0.5052,0.0825,0.0020
19,22,1.1319,0.1848,0.0006
22,23,0.6718,0.1094,0.0024
22,24,0.6700,0.1090,0.0019
25,22,0.2099,0.0353,0.0014
25,26,0.6527,0.1090,0.0020
25,27,0.6518,0.1089,0.0017
28,25,1.5144,0.2542,0.0014
28,29,0.6479,0.1084,0.0012
28,30,0.6486,0.1086,0.0014
31,28,2.8109,0.4731,0.0014
31,7,3.7245,0.6299,0.0093
32,11,2.3609,0.3971,0.0146
